Trial,Time,% in 1,% in 2,% in 3,% in 4
2,2200.0-2300.0,0.0,0.0,0.0,60.0
2,2300.0-2400.0,0.0,0.0,0.0,100.0
2,2400.0-2500.0,0.0,0.0,0.0,100.0
2,2500.0-2600.0,0.0,0.0,0.0,68.0
2,2600.0-2700.0,0.0,0.0,0.0,36.0
2,2700.0-2800.0,0.0,0.0,0.0,0.0
2,2800.0-2900.0,0.0,0.0,91.0,0.0
2,2900.0-3000.0,0.0,0.0,100.0,0.0
2,3000.0-3100.0,0.0,0.0,100.0,0.0
2,3100.0-3200.0,0.0,0.0,100.0,0.0
2,3200.0-3300.0,0.0,0.0,37.0,0.0
2,3300.0-3400.0,85.0,0.0,0.0,0.0
2,3400.0-3500.0,76.0,0.0,0.0,0.0
2,3500.0-3600.0,100.0,0.0,0.0,0.0
2,3600.0-3700.0,100.0,0.0,0.0,0.0
2,3700.0-3800.0,66.0,0.0,0.0,0.0
2,3800.0-3900.0,100.0,0.0,0.0,0.0
2,3900.0-4000.0,21.0,0.0,0.0,16.0
2,4000.0-4100.0,0.0,0.0,0.0,100.0
2,4100.0-4200.0,0.0,0.0,0.0,87.0
2,4200.0-4300.0,0.0,0.0,0.0,100.0
2,4300.0-4400.0,0.0,0.0,0.0,100.0
2,4400.0-4500.0,0.0,0.0,0.0,100.0
2,4500.0-4600.0,0.0,0.0,0.0,47.0
2,4600.0-4700.0,0.0,0.0,99.0,0.0
2,4700.0-4800.0,0.0,0.0,100.0,0.0
2,4800.0-4900.0,0.0,0.0,81.0,0.0
2,4900.0-5000.0,0.0,0.0,100.0,0.0
2,5000.0-5100.0,0.0,0.0,8.0,19.0
2,5100.0-5200.0,0.0,0.0,0.0,84.0
2,5200.0-5300.0,0.0,0.0,0.0,0.0
2,5300.0-5400.0,0.0,0.0,0.0,67.0
2,5400.0-5500.0,0.0,0.0,0.0,100.0
2,5500.0-5600.0,0.0,0.0,0.0,100.0
2,5600.0-5700.0,0.0,0.0,0.0,87.0
2,5700.0-5800.0,0.0,0.0,0.0,100.0
2,5800.0-5900.0,0.0,0.0,0.0,81.0
2,5900.0-6000.0,0.0,0.0,66.0,0.0
2,6000.0-6100.0,0.0,0.0,86.0,0.0
2,6100.0-6200.0,0.0,0.0,100.0,0.0
2,6200.0-6300.0,0.0,0.0,100.0,0.0
2,6300.0-6400.0,0.0,0.0,100.0,0.0
2,6400.0-6500.0,0.0,7.0,6.0,0.0
2,6500.0-6600.0,0.0,100.0,0.0,0.0
2,6600.0-6700.0,0.0,76.0,0.0,0.0
2,6700.0-6800.0,0.0,100.0,0.0,0.0
2,6800.0-6900.0,0.0,86.0,0.0,0.0
2,6900.0-7000.0,0.0,83.0,0.0,0.0
2,7000.0-7100.0,0.0,90.0,0.0,0.0
2,7100.0-7200.0,39.0,0.0,0.0,0.0
2,7200.0-7300.0,74.0,0.0,0.0,0.0
2,7300.0-7400.0,100.0,0.0,0.0,0.0
2,7400.0-7500.0,100.0,0.0,0.0,0.0
2,7500.0-7600.0,100.0,0.0,0.0,0.0
2,7600.0-7700.0,100.0,0.0,0.0,0.0
2,7700.0-7800.0,85.0,0.0,0.0,0.0
2,7800.0-7900.0,84.0,0.0,0.0,0.0
2,7900.0-8000.0,84.0,0.0,0.0,0.0
2,8000.0-8100.0,100.0,0.0,0.0,0.0
2,8100.0-8200.0,100.0,0.0,0.0,0.0
2,8200.0-8300.0,100.0,0.0,0.0,0.0
2,8300.0-8400.0,100.0,0.0,0.0,0.0
2,8400.0-8500.0,100.0,0.0,0.0,0.0
2,8500.0-8600.0,41.0,0.0,0.0,0.0
2,8600.0-8700.0,0.0,0.0,0.0,0.0
2,8700.0-8800.0,0.0,0.0,0.0,57.0
2,8800.0-8900.0,0.0,0.0,0.0,7.0
3,0.0-100.0,0.0,0.0,0.0,0.0
3,100.0-200.0,0.0,0.0,0.0,0.0
3,200.0-300.0,0.0,0.0,0.0,0.0
3,300.0-400.0,0.0,0.0,0.0,0.0
3,400.0-500.0,0.0,0.0,0.0,0.0
3,500.0-600.0,0.0,0.0,0.0,0.0
3,600.0-700.0,0.0,0.0,0.0,0.0
3,700.0-800.0,0.0,0.0,0.0,0.0
3,800.0-900.0,0.0,0.0,0.0,0.0
3,900.0-1000.0,0.0,0.0,0.0,0.0
3,1000.0-1100.0,0.0,0.0,0.0,0.0
3,1100.0-1200.0,0.0,0.0,0.0,0.0
3,1200.0-1300.0,0.0,0.0,0.0,0.0
3,1300.0-1400.0,0.0,0.0,0.0,0.0
3,1400.0-1500.0,0.0,0.0,0.0,0.0
3,1500.0-1600.0,0.0,0.0,0.0,0.0
3,1600.0-1700.0,0.0,0.0,0.0,0.0
3,1700.0-1800.0,0.0,0.0,0.0,0.0
3,1800.0-1900.0,0.0,0.0,0.0,0.0
3,1900.0-2000.0,0.0,0.0,3.0,0.0
3,2000.0-2100.0,0.0,0.0,100.0,0.0
3,2100.0-2200.0,0.0,0.0,100.0,0.0
3,2200.0-2300.0,0.0,0.0,100.0,0.0
3,2300.0-2400.0,0.0,0.0,69.0,0.0
3,2400.0-2500.0,0.0,0.0,100.0,0.0
